count,PRVS[@etichetta='Country'],number_of_results,wikidata_label,label_en,label_it,label_de,label_fr,scope_note,wikidata_description,term,wikidata_uri
377,Ungheria,1,Hungary,Hungary,Ungheria,Ungarn,Hongrie,"Agriculture developed by 4th millennium BCE; part of Roman Pannonia and Dacia, inhabited by Illyrians and Celts; held by Avars 7th-9th century, then Charlemagne; Finno-Ugrian Magyars invaded, defeated by Otto I 955; held by Mongols and Turks; Austria-Hungary formed 1867; official language is Magyar (Hungarian), though German, Slovak, Romanian and other languages are also spoken. As of 2014, Hungary is divided into 19 counties, 23 ""urban counties"" which are also primary subdivisions, and 1 ""special city"" (Budapest). ",country in Central Europe,http://vocab.getty.edu/tgn/7006278,http://www.wikidata.org/entity/Q28
337,Irlanda,1,Ireland,Ireland,Repubblica d'Irlanda,Irland,Irlande,"The independent sovereign nation of the Republic of Ireland shares the name and history with the island of Ireland. It was ruled by the warring tribal kings of Leinster, Connaught, Munster, Meath and Ulster (much of Ulster is now in Northern Ireland). It was then ruled by England from the 12th century. Many insurrections finally allowed it to gain increasing independence from the United Kingdom over the 16th-20th centuries until full independant nationhood on April 18, 1949. The official languages are Irish Gaelic and English. It is some 70272.78 square kilometers in area, and the 2003 estimated population was 3,968,100.",country in Northwestern Europe,http://vocab.getty.edu/tgn/1000078,http://www.wikidata.org/entity/Q27
267,Slovenia,1,Slovenia,Slovenia,Slovenia,Slowenien,Slovénie,"Settled by Slovenes in the 6th century CE, the region was ruled by Franks and Bavarians. It was held by Austria from 1335 through the 19th century, except for a short period under Napoleon's Illyrian Provinces (1809-1813). Slovenia became part of the former Yugoslavia from 1918, and became fully independent in 1991. The official language is Slovene.",country in Central Europe,http://vocab.getty.edu/tgn/7006670,http://www.wikidata.org/entity/Q215
226,Belgio,1,Belgium,Belgium,Belgio,Belgien,Belgique,"The modern kingdom of Belgium lies at the  crossroads of northeastern Europe, bounded on the northwest by the North Sea, on the north and northeast by The Netherlands, on the east by Germany, on the southeast by Luxembourg, and on the southwest and west by France. The area has historically been held by Celtic Belgae and Germanic tribes, Romans, Frankish-Merovingians, Carolingians, then various feudal states. Many independent cities evolved there in medieval times. Burgundy ruled it in the 14th century, then the Hapsburgs from 1482. Since 1831 it has been a representative, and constitutional monarchy. Densely populated and heavily urbanized, it has a rich mix of cultures. The official languages are Dutch (or Flemish), mainly spoken in the north, French, mainly spoken in the south, and German. ",country in western Europe,http://vocab.getty.edu/tgn/1000063,http://www.wikidata.org/entity/Q31
223,Russia,2,Russia,Russia,Federazione Russa,Russische Föderation,Fédération de Russie,"Area was inhabited by many early cultures including Scythians (7th century BCE), Sarmatians, Goths (3rd century CE), Huns, Avars, Khazars, Bulgars, and Slavs; Varangians (Scandinavians) created Russian state in the 9th century; was core of large empire and Soviet Union (1922); official language is Russian.",country in Eastern Europe and Northern Asia,http://vocab.getty.edu/tgn/7002435,http://www.wikidata.org/entity/Q159
223,Russia,,,,,,,,,http://vocab.getty.edu/tgn/7018214,
213,Svezia,1,Sweden,Sweden,Svezia,Schweden,Suède,"European hunters arrived here 12,000 BCE; settled by Svear, Lapps, Herules, Danes, and Goths first millenium BCE; controlled eastern trade route to Byzantium and Baghdad during Viking Era, colonized Russia; united with Denmark and Norway 14th-16th centuries, with Norway 19th century; official language is Swedish, though Finnish is also spoken.",country in Northern Europe,http://vocab.getty.edu/tgn/1000097,http://www.wikidata.org/entity/Q34
209,Polonia,1,Poland,Poland,Polonia,Polen,Pologne,"Poland is a republic of northeastern Europe, bordered on the east by Russia, Lithuania, Belarus, and Ukraine, on the west by Germany, on the south by the Czech Republic and Slovakia, and on the north by the Baltic Sea. However, its boundaries have changed many times over the centuries. It was settled by Slavic tribes in the 2nd millennium BCE, and over time saw incursions by Ostrogoths, Slavs, Huns and Avars. Many small states formed in the 9th century, until a united in kingdom emerged in 1025. It was part of the Polish-Lithuanian empire in the 15 and 16th centuries. It was subsequently invaded in turn by Tartars, Ottomans and Russians. Its territory shrank as it was overrun and partitioned by various European powers between the 18th and 20th centuries. Following World War II, it was dominated by the USSR and had a Communist government, which collapsed in 1989, to be followed by a Western-style democracy. The official language is Polish.",country in Central Europe,http://vocab.getty.edu/tgn/7006366,http://www.wikidata.org/entity/Q36
180,"Ceca, Rep.",0,,,,,,,,,
172,Malta,1,Malta,Malta,Malta,Malta,Malte,"Comprises 3 islands in strategic location in Mediterranean; inhabited since 3800 BCE; ruled by Carthaginians (8th century BCE), Rome (until 395), Constantinople, Arabs (870) and Normans (1091); ceded to Hospitalers (Knights of St. John) in 1530; British by 1802; official languages are Maltese (a Semitic language of the Southern Central group) and English.",sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea,http://vocab.getty.edu/tgn/7005729,http://www.wikidata.org/entity/Q233
